Date,Price,High,Low,Close
07/08/22, 64.10, 67.29, 61.55, 66.21
07/07/22, 66.20, 66.24, 63.70, 64.09
07/06/22, 64.20, 70.68, 61.46, 66.19
07/05/22, 58.36, 68.86, 57.30, 64.15
07/04/22, 56.32, 62.76, 56.25, 58.38
07/01/22, 57.67, 61.53, 53.83, 56.31
06/30/22, 54.83, 57.83, 54.25, 57.66
06/29/22, 56.54, 58.13, 53.15, 54.82
06/28/22, 56.22, 58.95, 55.44, 56.54
06/27/22, 56.37, 59.54, 55.98, 56.22
06/24/22, 57.36, 59.83, 55.93, 56.37
06/23/22, 57.86, 58.63, 55.78, 57.34
06/22/22, 56.74, 58.01, 55.34, 57.86
06/21/22, 58.34, 60.19, 54.87, 56.77
06/20/22, 59.33, 61.43, 57.82, 58.33
06/17/22, 60.54, 61.78, 58.16, 60.35
06/16/22, 57.97, 62.39, 57.97, 60.53
06/15/22, 61.41, 62.26, 57.97, 57.97
06/14/22, 59.86, 61.69, 58.75, 60.94
06/13/22, 61.28, 61.40, 57.51, 59.85
06/10/22, 62.35, 63.24, 59.80, 61.26
06/09/22, 64.84, 65.41, 59.76, 61.32
06/08/22, 66.08, 67.08, 63.95, 64.85
06/07/22, 65.89, 66.83, 64.57, 66.10
06/06/22, 67.93, 68.61, 63.91, 65.90
06/03/22, 68.12, 69.61, 65.62, 67.92
06/02/22, 67.65, 71.75, 65.14, 68.11
06/01/22, 67.35, 68.78, 65.33, 67.63
05/31/22, 69.00, 69.01, 65.10, 67.36
05/30/22, 71.35, 72.59, 66.34, 68.99
05/27/22, 69.31, 73.94, 67.97, 71.39
05/26/22, 64.47, 69.67, 60.99, 69.38
05/25/22, 62.27, 64.54, 59.70, 64.46
05/24/22, 62.63, 63.17, 59.56, 62.27
05/23/22, 65.49, 66.22, 60.99, 62.63
05/20/22, 65.77, 68.23, 61.26, 65.49
05/19/22, 67.76, 68.32, 64.80, 65.75
05/18/22, 68.99, 69.36, 65.41, 67.74
05/17/22, 67.43, 69.61, 65.99, 68.97
05/16/22, 69.24, 69.46, 65.69, 67.43
05/13/22, 67.21, 69.25, 65.21, 69.24
05/12/22, 70.17, 71.23, 66.29, 67.23
05/11/22, 73.85, 73.89, 69.51, 70.18
