Store code,the date,Number of sales,Unit cost,Selling price,Store code
1348033,05/01/2015,  1    ,  69    ,  80    ,
1348733,05/01/2015,  1    ,  99    ,  134    ,
1370669,05/01/2015,  1    ,  80    ,  75    ,
1372999,05/01/2015,  1    ,  94    ,  107    ,
1380788,05/01/2015,  1    ,  57    ,  54    ,
1403429,05/01/2015,  2    ,  72    ,  64    ,
1411640,05/01/2015,  2    ,  95    ,  94    ,
1421783,05/01/2015,  1    ,  67    ,  70    ,
1429125,05/01/2015,  1    ,  69    ,  80    ,
1434555,05/01/2015,  1    ,  69    ,  80    ,
1444116,05/01/2015,  1    ,  66    ,  91    ,
1463048,05/01/2015,  1    ,  57    ,  54    ,
1463451,05/01/2015,  2    ,  61    ,  62    ,
1463471,05/01/2015,  2    ,  107    ,  107    ,
1479073,05/01/2015,  2    ,  59    ,  67    ,
1484789,05/01/2015,  2    ,  87    ,  88    ,
101462,06/01/2015,  3    ,  59    ,  57    ,
111687,06/01/2015,  2    ,  44    ,  51    ,
1125040,06/01/2015,  1    ,  67    ,  70    ,
1136014,06/01/2015,  3    ,  85    ,  95    ,
1136017,06/01/2015,  2    ,  64    ,  60    ,
1136019,06/01/2015,  1    ,  57    ,  54    ,
1138567,06/01/2015,  1    ,  54    ,  54    ,
1139627,06/01/2015,  1    ,  75    ,  75    ,
1141327,06/01/2015,  2    ,  48    ,  46    ,
1141563,06/01/2015,  1    ,  156    ,  177    ,
1141564,06/01/2015,  3    ,  69    ,  77    ,
1141567,06/01/2015,  4    ,  59    ,  63    ,
1143363,06/01/2015,  2    ,  44    ,  51    ,
1143366,06/01/2015,  1    ,  69    ,  80    ,
1143403,06/01/2015,  1    ,  80    ,  75    ,
1143767,06/01/2015,  1    ,  67    ,  70    ,
1145000,06/01/2015,  1    ,  67    ,  70    ,
1145299,06/01/2015,  2    ,  49    ,  54    ,
1145540,06/01/2015,  2    ,  61    ,  62    ,
1145678,06/01/2015,  3    ,  84    ,  99    ,
1147091,06/01/2015,  1    ,  57    ,  54    ,
1147105,06/01/2015,  3    ,  59    ,  55    ,
1147199,06/01/2015,  1    ,  75    ,  70    ,
1147528,06/01/2015,  1    ,  57    ,  54    ,
1147541,06/01/2015,  2    ,  53    ,  54    ,
1149639,06/01/2015,  1    ,  66    ,  91    ,
1149643,06/01/2015,  3    ,  54    ,  57    ,
1149711,06/01/2015,  1    ,  66    ,  91    ,
1149718,06/01/2015,  1    ,  87    ,  107    ,
1151738,06/01/2015,  2    ,  57    ,  54    ,
1151862,06/01/2015,  2    ,  90    ,  104    ,
1152051,06/01/2015,  2    ,  58    ,  64    ,
1152052,06/01/2015,  1    ,  48    ,  46    ,
1153456,06/01/2015,  2    ,  76    ,  81    ,
1153463,06/01/2015,  2    ,  69    ,  68    ,
1153471,06/01/2015,  1    ,  74    ,  75    ,
1153511,06/01/2015,  1    ,  66    ,  94    ,
1153518,06/01/2015,  1    ,  41    ,  48    ,
1153519,06/01/2015,  2    ,  69    ,  67    ,
1153520,06/01/2015,  1    ,  67    ,  70    ,
1153521,06/01/2015,  2    ,  121    ,  107    ,
1153528,06/01/2015,  1    ,  80    ,  75    ,
1158938,06/01/2015,  3    ,  70    ,  67    ,
1163232,06/01/2015,  1    ,  69    ,  80    ,
1166831,06/01/2015,  2    ,  57    ,  57    ,
1168831,06/01/2015,  1    ,  80    ,  75    ,
1172591,06/01/2015,  1    ,  57    ,  54    ,
1173031,06/01/2015,  2    ,  57    ,  54    ,
1174680,06/01/2015,  2    ,  69    ,  68    ,
1176680,06/01/2015,  2    ,  67    ,  88    ,
1178717,06/01/2015,  1    ,  75    ,  67    ,
1179050,06/01/2015,  1    ,  92    ,  107    ,
1180626,06/01/2015,  2    ,  64    ,  78    ,
1181034,06/01/2015,  1    ,  57    ,  54    ,
1196175,06/01/2015,  1    ,  80    ,  75    ,
1196188,06/01/2015,  1    ,  67    ,  73    ,
1202418,06/01/2015,  1    ,  52    ,  59    ,
1204285,06/01/2015,  1    ,  80    ,  75    ,
1204518,06/01/2015,  1    ,  67    ,  70    ,
1221484,06/01/2015,  1    ,  121    ,  107    ,
1225244,06/01/2015,  1    ,  41    ,  48    ,
1225745,06/01/2015,  3    ,  64    ,  61    ,
1234443,06/01/2015,  1    ,  41    ,  51    ,
1241545,06/01/2015,  2    ,  54    ,  59    ,
1269345,06/01/2015,  4    ,  63    ,  68    ,
1271440,06/01/2015,  2    ,  60    ,  70    ,
1275785,06/01/2015,  1    ,  121    ,  107    ,
1276765,06/01/2015,  1    ,  72    ,  64    ,
1287824,06/01/2015,  1    ,  80    ,  75    ,
1294422,06/01/2015,  1    ,  57    ,  54    ,
1294702,06/01/2015,  1    ,  124    ,  177    ,
1310523,06/01/2015,  1    ,  87    ,  107    ,
1316043,06/01/2015,  3    ,  67    ,  78    ,
1319605,06/01/2015,  1    ,  48    ,  46    ,
1340370,06/01/2015,  1    ,  48    ,  46    ,
1345915,06/01/2015,  1    ,  87    ,  96    ,
1348033,06/01/2015,  1    ,  77    ,  80    ,
1363619,06/01/2015,  1    ,  41    ,  48    ,
1380788,06/01/2015,  1    ,  156    ,  177    ,
1398161,06/01/2015,  1    ,  57    ,  54    ,
1403429,06/01/2015,  2    ,  95    ,  84    ,
1423417,06/01/2015,  1    ,  48    ,  54    ,
1429125,06/01/2015,  1    ,  67    ,  70    ,
1444116,06/01/2015,  2    ,  90    ,  104    ,
1455486,06/01/2015,  1    ,  72    ,  64    ,
1457717,06/01/2015,  1    ,  48    ,  46    ,
1458711,06/01/2015,  1    ,  57    ,  54    ,
1460642,06/01/2015,  1    ,  69    ,  80    ,
1463471,06/01/2015,  1    ,  54    ,  54    ,
105122,07/01/2015,  1    ,  48    ,  44    ,
1136014,07/01/2015,  1    ,  48    ,  52    ,
1136017,07/01/2015,  1    ,  80    ,  73    ,
1136019,07/01/2015,  2    ,  62    ,  70    ,
1141563,07/01/2015,  2    ,  67    ,  68    ,
1143363,07/01/2015,  1    ,  80    ,  73    ,
1143403,07/01/2015,  1    ,  48    ,  44    ,
1144860,07/01/2015,  1    ,  48    ,  44    ,
1145299,07/01/2015,  1    ,  80    ,  77    ,
1145540,07/01/2015,  1    ,  48    ,  44    ,
1145678,07/01/2015,  1    ,  41    ,  47    ,
1147091,07/01/2015,  2    ,  73    ,  70    ,
1147199,07/01/2015,  1    ,  57    ,  52    ,
1147528,07/01/2015,  1    ,  67    ,  68    ,
1151738,07/01/2015,  1    ,  72    ,  63    ,
